时间,tout,two,twi,ta,tpo,tpi,tin,t排,twi无,ta无,tpo无,tpi无,twi上,twi中,twi下,ta上,ta中,ta下,tpo上,tpo中,tpo下,tpi上,tpi中,tpi下
2018-11-08 20:39:20.349,10.301618,12.644464,17.251846666666665,17.505304,17.49238366666667,17.243283333333334,16.964628,17.76698,15.505689000000002,15.08344,14.807108,16.824276,18.003937,17.138523,16.61308,17.622058,17.755213,17.138641,17.929563,17.664507,16.883081,17.074816000000002,17.767393,16.887641000000002
2018-11-08 20:40:20.349,10.416858,12.635542,17.252176000000002,17.461299666666665,17.457381333333334,17.239412,17.040210000000002,17.616892,15.505689000000002,15.062214,14.789248,16.889785999999997,18.002945999999998,17.139512,16.61407,17.594410999999997,17.703946,17.085542,17.909233,17.637213,16.825698000000003,17.049019,17.829121,16.840096
2018-11-08 20:41:20.349,10.202842,12.640499,17.254486,17.48498566666667,17.430483,17.07208466666667,16.870635,17.590916,15.507678,15.006256,14.767420000000001,16.600107,18.001956,17.142482,16.619020000000003,17.597373,17.748442,17.109142000000002,17.851147,17.579591,16.860711,16.906142000000003,17.58028,16.729832000000002
2018-11-08 20:42:20.349,10.78485,12.661316000000001,17.256135333333333,17.480273666666665,17.41053633333333,17.076763666666665,16.828968,17.616892,15.506684,14.995643,14.834889000000002,16.627744,18.000965,17.144461,16.62298,17.5796,17.706848,17.154373,17.832753,17.538145,16.860711,16.932931,17.592817999999998,16.704542
2018-11-08 20:43:20.349,10.456562,12.671228999999999,17.259105666666667,17.403960666666666,17.412378333333333,17.04059633333333,16.750479000000002,17.557242000000002,15.507678,15.006256,14.773373000000001,16.707585,18.001956,17.148421,16.62694,17.545041,17.628497,17.038344,17.887935,17.562406,16.786794,16.893243,17.614037,16.614508999999998
2018-11-08 20:44:20.349,10.760639999999999,12.685107,17.25877433333333,17.425465666666668,17.393536333333333,17.10159333333333,16.867728,17.583219,15.509667000000002,15.021692000000002,14.724754999999998,16.735222,17.997992,17.148421,16.62991,17.595399,17.664286999999998,17.016710999999997,17.843401999999998,17.579591,16.757616,16.879353,17.7047,16.720727
2018-11-08 20:45:20.349,10.649274,12.706916,17.261083666666664,17.455231333333334,17.429821,17.173905,16.956876,17.616892,15.512651000000002,15.05546,14.770396,16.815063000000002,17.996011,17.152379999999997,16.63486,17.576638,17.730063,17.058993,17.812423000000003,17.625082,16.851958,16.965674,17.723026,16.833015
2018-11-08 20:46:20.349,10.429447,12.681142,17.26207366666667,17.480916333333333,17.435069666666667,17.082930333333334,16.818309,17.632285999999997,15.512651000000002,15.066073000000001,14.850764000000002,16.699396,17.996011,17.153370000000002,16.63684,17.589474,17.711685,17.14159,17.848242000000003,17.557351999999998,16.899615,16.968651,17.572564,16.707576
2018-11-08 20:47:20.349,10.643464,12.66429,17.264713,17.46352,17.445161666666664,17.094028666666663,16.799898000000002,17.653451999999998,15.516629,15.024587,14.845803,16.718845,17.99502,17.157329,16.64179,17.600336,17.65945,17.130774,17.90052,17.592733,16.842232,16.965674,17.658404,16.658008
2018-11-08 20:48:20.349,10.448815,12.642481,17.265041999999998,17.426528333333334,17.447065000000002,17.062807,16.770828,17.619779,15.517623,15.032305,14.794209,16.732152,17.992048,17.160298,16.64278,17.5796,17.645908,17.054077,17.916009,17.616995000000003,16.808191,16.861493,17.670942999999998,16.655985
2018-11-08 20:49:20.349,10.312271,12.612741999999999,17.267351333333334,17.460913333333334,17.443318666666666,17.090784,16.833813,17.671732000000002,15.516629,15.045812,14.8081,16.688137,17.990066,17.163268,16.64872,17.590462,17.713619,17.078659,17.884062,17.598799,16.847095,16.910110999999997,17.631398,16.730843
2018-11-08 20:50:20.349,10.580518,12.634551,17.268341666666668,17.372739666666664,17.400364,17.097626,16.853193,17.584181,15.517623,14.991783999999999,14.75849,16.770025,17.991057,17.163268,16.6507,17.48481,17.628497,17.004912,17.814359,17.57757,16.809163,16.913087,17.644901,16.73489
2018-11-08 20:51:20.349,10.583423,12.615716,17.27032033333333,17.409492666666665,17.399655,17.060816666666668,16.840595999999998,17.545697,15.521601,15.034235,14.745591000000001,16.695301999999998,17.988084,17.166237,16.65664,17.514432,17.687502,17.026544,17.784348,17.594755,16.819862,16.884314,17.597641,16.700495
2018-11-08 20:52:20.349,10.444942,12.571108,17.270650333333332,17.434327666666668,17.399915333333333,16.953168666666667,16.675866,17.571673999999998,15.522596,15.078616,14.777342,16.557116,17.987094,17.167227,16.657629999999997,17.533192,17.705881,17.06391,17.800806,17.591722,16.807218,16.796008,17.472255999999998,16.591242
2018-11-08 20:53:20.349,10.351007000000001,12.521543,17.272298666666664,17.489599333333334,17.436016666666664,17.305198333333333,17.125482,17.6294,15.521601,15.026516,14.761466,16.922541,17.98313,17.171186,16.66258,17.580588,17.739735999999997,17.148474,17.805646,17.627104,16.8753,17.095651999999998,17.870594,16.949348999999998
2018-11-08 20:54:20.349,10.171853,12.48883,17.273289333333334,17.497395333333333,17.463562333333332,17.32530566666667,17.081877,17.626513,15.521601,15.015904,14.838857999999998,16.966556,17.985112,17.172176,16.66258,17.548991,17.744573000000003,17.198622,17.865668,17.607897,16.917122,17.191896,17.83973,16.944291
2018-11-08 20:55:20.349,10.25804,12.467021,17.274278666666664,17.495451,17.448722,17.101405,16.765014,17.61593,15.522596,15.023622,14.876562,16.673806,17.98313,17.173166000000002,16.666539999999998,17.605273,17.695241,17.185839,17.871477,17.58869,16.885998999999998,17.002385,17.584138,16.717692
2018-11-08 20:56:20.349,10.071139,12.449178,17.274277,17.432478333333332,17.440414666666666,17.01616,16.663269,17.600537,15.524585,15.023622,14.846796,16.695301999999998,17.978176,17.176135000000002,16.66852,17.561826999999997,17.632366,17.103242,17.894710999999997,17.575548,16.850985,16.91408,17.553274,16.581126
2018-11-08 20:57:20.349,10.233830000000001,12.452152,17.274936,17.457077333333334,17.42605933333333,17.003821000000002,16.741757999999997,17.649604,15.520607,14.994678,14.822982999999999,16.612389999999998,17.974213,17.178115,16.67248,17.575651,17.692339,17.103242,17.834689,17.586668,16.856821,16.854548,17.527232,16.629683
2018-11-08 20:58:20.349,10.204778,12.451161,17.276916,17.454957333333333,17.428560333333333,16.980004666666666,16.689432,17.585143,15.520607,15.008185000000001,14.855725,16.629792000000002,17.975204,17.180094,16.67545,17.578613,17.661385,17.124874,17.881158,17.559373,16.84515,16.842641,17.524339,16.573034
2018-11-08 20:59:20.349,10.237703999999999,12.468013000000001,17.279226000000005,17.437062,17.39719966666667,17.131654,16.867728,17.586105,15.523589999999999,14.964769,14.735669,16.767978,17.975204,17.183064,16.67941,17.545041,17.688469,17.077676,17.780475,17.579591,16.831533,16.95476,17.692162,16.74804
2018-11-08 21:00:20.349,10.412016,12.479908,17.279885,17.432096666666666,17.412439666666668,17.199551333333332,16.999512,17.567825,15.523589999999999,14.978276000000001,14.800162,16.882621,17.973222,17.185043,16.68139,17.478885000000002,17.680731,17.136674,17.815327,17.558363,16.863629,17.075808,17.719168,16.803678
2018-11-08 21:01:20.349,10.088569999999999,12.423404,17.278564,17.448336333333334,17.436823,17.155377,16.853193,17.563015,15.524585,14.967664000000001,14.834889000000002,16.804827,17.969259,17.185043,16.68139,17.535167,17.662352,17.147489999999998,17.878254000000002,17.571504,16.860711,17.051995,17.687339,16.726797
2018-11-08 21:02:20.349,9.9626788,12.414482000000001,17.279883666666667,17.429855,17.435146666666668,17.179196,16.871604,17.539924,15.525579,14.984065,14.741622,16.775143,17.967278,17.188013,16.68436,17.540104,17.686535,17.062926,17.846306,17.640245,16.818889000000002,16.998417,17.757748,16.781423
