时间,twi模拟,ta模拟,tpo模拟,tpi模拟,twi无_模拟,ta无_模拟,tpo无_模拟,tpi无_模拟,ta模拟2,tpo模拟2,tpi模拟2,ta无_模拟2,tpo无_模拟2,tpi无_模拟2
2018-09-26 01:43:00.344,19.505178521022966,18.120548233564044,17.451995689804242,15.432776664866427,23.25222566934058,22.60598753066013,21.958326084103252,16.661431389979544,18.821781205846303,17.9805884867904,15.442955574081104,21.973444723285546,21.381285261626193,16.551035581249923
2018-09-26 01:44:00.344,19.50267995150046,18.114876214538768,17.44475608578924,15.479405740311837,23.25018860871406,22.60337582459512,21.955061077130605,16.69180567251583,18.816677128790857,17.973738544841456,15.489583160453861,21.971658358143774,21.378633397401742,16.58137104598564
2018-09-26 01:45:00.344,19.500157301241856,18.11067326474525,17.440147582319632,15.479984382168496,23.248141283357295,22.60089489253135,21.952221745045236,16.691925392432896,18.81225765590469,17.968968326996933,15.490160748869586,21.970012415806433,21.376417268332737,16.581475743987376
2018-09-26 01:46:00.344,19.497656418233493,18.107644496844028,17.437187347091264,15.475364472067083,23.24609269799323,22.59857750055326,21.94972959655222,16.688103872833572,18.809107302685153,17.965921376028078,15.485539850277128,21.967448950625098,21.373745680704623,16.57765425345811
2018-09-26 01:47:00.344,19.495198015028297,18.105320932384895,17.435122632330568,15.477409145941083,23.244048454043842,22.59639172102236,21.947477970306235,16.688844689072592,18.80575679676676,17.963127726331038,15.48758195691021,21.965781973789106,21.371922287589967,16.578407540759482
2018-09-26 01:48:00.344,19.4928027862587,18.103720519036795,17.43410394050325,15.487313675705826,23.242014176403927,22.594347694503043,21.945505715500648,16.69535471329639,18.803912314126123,17.9619218974455,15.497482580271384,21.963939281942277,21.37012485213207,16.584939109659626
2018-09-26 01:49:00.344,19.49047215766522,18.102452593295773,17.433439377234325,15.48241569017024,23.239992115674188,22.59240004278707,21.943687896884637,16.691716188020393,18.802715877713222,17.961281594088582,15.49258065164876,21.961535546749626,21.367977731908027,16.5813191708548
2018-09-26 01:50:00.344,19.48816700535358,18.100516231101533,17.431496892448518,15.461206482187237,23.237976687278543,22.590403733828982,21.941682725120955,16.676174981164866,18.801081237253516,17.959533870727334,15.471368678050178,21.959970390991415,21.36632467817313,16.56579583994503
2018-09-26 01:51:00.344,19.485820429983626,18.097016480756444,17.427011765087823,15.434246056472388,23.235955634816523,22.588197714971816,21.939171138019205,16.65580871304516,18.797369777370108,17.954894529044264,15.444406308568984,21.957369960388366,21.36351144182494,16.545441986726466
2018-09-26 01:52:00.344,19.48347382077805,18.094195310722753,17.42414855266651,15.483722936389652,23.233934207833617,22.586040845717378,21.936907091887544,16.689235463664865,18.79405334885134,17.951679440644998,15.493880960868434,21.953445730944356,21.359874680827666,16.5788524868182
2018-09-26 01:53:00.344,19.481228851580962,18.09384477084058,17.425389923754647,15.516106617295579,23.231930673289348,22.584225998333103,21.935477624667598,16.71282353307648,18.79292627440448,17.952360239175682,15.526261015840005,21.952163664543427,21.35883002684346,16.60240920304975
2018-09-26 01:54:00.344,19.47904727223618,18.093177965800905,17.425365890490138,15.453729121760395,23.229941386833737,22.58245050957977,21.933938568330994,16.669624180455365,18.792581871910386,17.952542199521584,15.463879837994476,21.94886695065537,21.35604999752315,16.559157433794987
2018-09-26 01:55:00.344,19.47687255503645,18.09134425161255,17.4233756147509,15.459723823475834,23.227957076829338,22.580551880172187,21.932054802688462,16.6722455617919,18.789845817468336,17.94989749022875,15.469870166706853,21.94700585639224,21.354148418005398,16.56171544774706
2018-09-26 01:56:00.344,19.474605949914046,18.087067815786963,17.41745934780407,15.40545580404353,23.225958777212234,22.57830167019362,21.92935049224072,16.632808676736637,18.785605798752314,17.94399624765488,15.415597711287013,21.94473543498346,21.351361175662074,16.52221648830837
2018-09-26 01:57:00.344,19.47222334445401,18.081654795983678,17.410273957473688,15.420375908572012,23.22393818606388,22.57580584660059,21.92623818652294,16.640811952950802,18.78067201407036,17.93713129212919,15.430514801929704,21.943334466390667,21.34905925119913,16.5301799246653
2018-09-26 01:58:00.344,19.469780473020812,18.077054202610974,17.40485727598688,15.437331506897799,23.221901896883377,22.573331469617074,21.923338055444937,16.65167794146692,18.77519345016654,17.931089660206606,15.44746739657974,21.93956682834691,21.345134929619533,16.54101066448413
2018-09-26 01:59:00.344,19.467352867614718,18.074128692189973,17.402152461211717,15.449138049065093,23.21986290977817,22.571057651275666,21.92094474492984,16.659658012571192,18.77223604994572,17.928354910794333,15.45927079500186,21.938011476206327,21.343296486555285,16.548963908722726
2018-09-26 02:00:00.344,19.46501210524986,18.073129677175952,17.402329500764363,15.46905369512888,23.21783603043227,22.56908223774665,21.919192406533302,16.673744576808232,18.770921418826227,17.928289569615234,15.47918310654987,21.935719933928826,21.34127402717421,16.563029004704706
2018-09-26 02:01:00.344,19.462773984115557,18.073001030537437,17.40345637628303,15.460518636839607,23.21582763345512,22.56730748971492,21.91776670796073,16.668134113921653,18.770509976752887,17.929200362010246,15.470644498076975,21.93274347255141,21.33890521500108,16.557385004004946
2018-09-26 02:02:00.344,19.460712089320133,18.075043476961707,17.408072980376787,15.524570571420941,23.213853911932798,22.5659122726719,21.917168259481628,16.71358986485918,18.771437840267023,17.933010436454232,15.534691356150846,21.93149279518659,21.338390339618165,16.60279979619894
2018-09-26 02:03:00.344,19.45878736524331,18.07696009346392,17.411805528093517,15.4734176387983,23.211912332014855,22.564626455016175,21.916601118468865,16.6793150643602,18.773163680954067,17.936581794391316,15.483532451772781,21.930202104297305,21.337774946503114,16.568485059468475
2018-09-26 02:04:00.344,19.456950066498305,18.078116812326318,17.41419565473345,15.49012098810883,23.20999585442774,22.56331468406641,21.915879128703363,16.690561063325696,18.774324016469837,17.93894114030983,15.500230225015553,21.929388237472686,21.337416429113134,16.579703076794235
2018-09-26 02:05:00.344,19.455141089168105,18.078050083263708,17.414631854991892,15.471871220568444,23.20809372342249,22.56186612225006,21.914805469157606,16.67785982393569,18.774460882585455,17.93949859950088,15.481976289179503,21.926936819877707,21.335549856540645,16.56697265144337
2018-09-26 02:06:00.344,19.453312712341432,18.076778015686102,17.4132963815205,15.465223635583309,23.206195515518946,22.56023821865027,21.91334473238043,16.672578126123984,18.77240670859865,17.93760162924814,15.475324676028338,21.925484569504576,21.334213965840828,16.56166116648498
2018-09-26 02:07:00.344,19.451420363533394,18.07421834075356,17.41006120709288,15.446807525663157,23.204290494608376,22.558389665996344,21.911425755146315,16.658845575032753,18.76898980729773,17.933754057400076,15.456903336393218,21.924737927009033,21.33312646815585,16.547916105220967
2018-09-26 02:08:00.344,19.449410803866986,18.070015937848016,17.404350763213962,15.418552781370622,23.202365761124906,22.556245853016147,21.908893061713073,16.637574327950325,18.764708470513515,17.927967588298728,15.428642926417051,21.92180370741778,21.329977977519018,16.526638158078825
2018-09-26 02:09:00.344,19.447255866975997,18.06456149729973,17.3969625775812,15.406418766942316,23.20041216014672,22.553829492334895,21.90585720215263,16.62707717464152,18.758990365692874,17.92037192545839,15.416503470550749,21.91856609607361,21.3263122775806,16.5161232178398
2018-09-26 02:10:00.344,19.44506712651125,18.06111835577307,17.39346813833894,15.473219973386135,23.198445989362217,22.551585077512062,21.90343342745773,16.672912781568503,18.75600811422579,17.917182297683322,15.483300790344416,21.916586596417986,21.324070804421908,16.56193537348889
2018-09-26 02:11:00.344,19.442896630303967,18.058998571326246,17.39173663478056,15.438412966567507,23.196477502814396,22.549520841032113,21.90137705962292,16.64923706727501,18.75347889766051,17.91514943998684,15.44849078896568,21.91402405033076,21.321594408676834,16.538230639269006
2018-09-26 02:12:00.344,19.4407149824102,18.05638603187179,17.388781036861396,15.415072798048024,23.194503453990052,22.547421241099165,21.899131571449676,16.63172532973223,18.750092603515064,17.911645059712782,15.425146967497147,21.91285275113465,21.320051901023415,16.520700263523413
2018-09-26 02:13:00.344,19.438538999569342,18.054090846704565,17.386515682276343,15.444904206953469,23.192527196542322,22.545363447945846,21.897016285208515,16.651503009171265,18.747669993469138,17.909274187238655,15.454974237246512,21.909970438129477,21.31728128984743,16.540460728284536
2018-09-26 02:14:00.344,19.43635117877782,18.05144110870718,17.38354593757793,15.412468741403366,23.190546342089768,22.54326500777009,21.89477688365537,16.62844491148984,18.744156470143885,17.90567612912796,15.422533568733288,21.908157653963613,21.315264795752107,16.517387665368503
2018-09-26 02:15:00.344,19.434196163188147,18.049777053634774,17.382389406878158,15.455593451383765,23.18856890606631,22.54129562060767,21.89288976231825,16.657787044748044,18.742475962435975,17.904485064512237,15.465652881868637,21.90460145703549,21.312122784449674,16.546697713410428
2018-09-26 02:16:00.344,19.432067103189908,18.048166431833096,17.38104322875043,15.42176368654286,23.186595122721425,22.53936283789544,21.891019031054153,16.63429887572179,18.74075343360989,17.903034472300124,15.431818269276121,21.903243573806126,21.310671243947247,16.523171510250453
2018-09-26 02:17:00.344,19.4299002665614,18.045143876875567,17.377220235416175,15.392292478298272,23.184614272867606,22.537252607051236,21.88867737075649,16.61223108401863,18.737018408584685,17.89869584700937,15.402342030221698,21.900177644412906,21.30753510665518,16.501057017963543
2018-09-26 02:18:00.344,19.42764863487325,18.040741937023107,17.371403150419233,15.383479583808498,23.18261634944576,22.534914304245216,21.885867526897147,16.604144222205093,18.731786708094766,17.892281039151992,15.393523029591616,21.898627259294983,21.30530590921253,16.49293026252717
2018-09-26 02:19:00.344,19.425378373580962,18.037485782758637,17.3679870805609,15.430363351605195,23.180610763277485,22.532666824234752,21.88343038423226,16.635962427512542,18.729024391605403,17.88918554083089,15.440401399745385,21.894960362627586,21.301726933435052,16.52470184113716
2018-09-26 02:20:00.344,19.42313450109957,18.03535900096079,17.366227221850767,15.413125462929683,23.178606082785183,22.530572709463225,21.881335033838493,16.624191900998937,18.727425237018803,17.887772033529867,15.42316039428378,21.894067471514727,21.300542451200844,16.5128948378609
2018-09-26 02:21:00.344,19.421053656826608,18.036674946881508,17.370126099936527,15.501941327469389,23.176628668605655,22.528989181696513,21.880439025438253,16.68686435359772,18.728159791658754,17.891250811637455,15.511974033074333,21.891736735336185,21.29903209000883,16.575535703144997
2018-09-26 02:22:00.344,19.419155235937932,18.039347475907004,17.3753736249206,15.461594983370968,23.17468764433002,22.527730581231143,21.88004971088954,16.660884444347367,18.730333382334123,17.896139439840155,15.471624962455374,21.890209385046166,21.298428407790308,16.549523279968053
2018-09-26 02:23:00.344,19.417380574126696,18.041366970067415,17.37904136698242,15.457249645502262,23.172776916666255,22.526512004990344,21.879546303561703,16.65783397161888,18.732111288401626,17.899619369799996,15.467276283875476,21.889955947133526,21.298654144919407,16.546453591295982
2018-09-26 02:24:00.344,19.415668127743086,18.042248617291722,17.380859847141377,15.456276832236803,23.17088669667469,22.52520093942823,21.8787612028407,16.65711105764393,18.73248668758828,17.90106195522265,15.466299389465705,21.88834133090119,21.29762511381966,16.54572121838347
2018-09-26 02:25:00.344,19.414046691125318,18.043860720799277,17.38423051203904,15.50416340558643,23.16902130987813,22.524004180439867,21.878298808110074,16.6911660256212,18.73362984027809,17.9040802019098,15.514181136888752,21.885876842251086,21.29618538426779,16.57975486807122
2018-09-26 02:26:00.344,19.4124347657922,18.043876173338646,17.384590945753082,15.430387952748141,23.167166596618053,22.522628646668878,21.877299642422926,16.640285444872614,18.732729115156964,17.9037738304172,15.440399528949913,21.885117553722658,21.2956474489891,16.52884981095835
2018-09-26 02:27:00.344,19.41082867150699,18.043620727067015,17.38491167832014,15.484487907343555,23.165319666521345,22.521192454339115,21.87623930379215,16.67707457274151,18.732037021423825,17.903759374375436,15.494492446957597,21.88211813202492,21.29333332972117,16.565597999919852
2018-09-26 02:28:00.344,19.409241266923583,18.04361032707111,17.385728358940806,15.476497245517807,23.163481275915387,22.5197730138982,21.87524844734274,16.672359716344264,18.73109714429432,17.903888336024334,15.486493699222311,21.879541116299897,21.291405219286037,16.56081595159523
2018-09-26 02:29:00.344,19.407632335068765,18.042688549778724,17.38488703247999,15.448088501031913,23.16164350140529,22.518226765629127,21.87392079953166,16.65226749154945,18.729581219983885,17.90259688938219,15.45807617290339,21.878604980258938,21.290476599008194,16.540652045650265
