时间,tout,two,twi,ta,tpo,tpi,tin,t排,twi无,ta无,tpo无,tpi无,301 <twi_上> (C),302 <twi_中> (C),303 <twi_下> (C),304 <ta_上> (C),305 <ta_中> (C),306 <ta_下> (C),307 <tpo_上> (C),308 <tpo_中> (C),309 <tpo_下> (C),310 <tpi_上> (C),311 <tpi_中> (C),312 <tpi_下> (C)
2018-09-27 08:28:00.344,21.199992,20.95255,18.507874333333334,18.348440999999998,17.73188933333333,16.145411333333332,15.112869,18.200886999999998,20.024697,18.757398000000002,18.757056,17.122142999999998,18.52807,18.520283,18.475270000000002,18.135506,18.575484,18.334332999999997,17.794029000000002,17.744367999999998,17.657270999999998,16.368370000000002,16.659182,15.408682
2018-09-27 08:29:00.344,20.936588,20.973367,18.50292333333333,18.378960333333335,17.722964666666666,16.172063666666666,15.293103,18.258613,20.021714000000003,18.755469,18.845361999999998,17.094506,18.522126,18.516323999999997,18.47032,18.170065,18.577417999999998,18.389398,17.772731,17.728194000000002,17.667969,16.412026,16.640857,15.463307999999998
2018-09-27 08:30:00.344,20.996628,20.992202,18.502593333333333,18.387166333333333,17.763379666666665,16.23839633333333,15.329925,18.25284,20.022707999999998,18.766082,18.829487,17.152851000000002,18.523116,18.516323999999997,18.468339999999998,18.159204000000003,18.572582,18.429713,17.840498,17.753466,17.696175,16.451714000000003,16.734413,15.529062
2018-09-27 08:31:00.344,20.970482,21.001123,18.498633,18.415735,17.816430666666665,16.280897,15.405507,18.307679999999998,20.021714000000003,18.82011,18.796744,17.185606,18.520144000000002,18.512365,18.46339,18.159204000000003,18.681887,18.406114000000002,17.854051000000002,17.848491,17.74675,16.427902,16.784567000000003,15.630222
2018-09-27 08:32:00.344,21.444029,21.035819,18.496652333333333,18.402972333333334,17.80534533333333,16.27743033333333,15.395817000000001,18.262461,20.020719,18.810462,18.829487,17.191748,18.517172,18.511375,18.46141,18.156242000000002,18.618045000000002,18.43463,17.8647,17.819175,17.732160999999998,16.461636,16.776851,15.593804
2018-09-27 08:33:00.344,20.905599,21.05961,18.495993,18.400049666666668,17.796553666666668,16.259080666666666,15.291165,18.281703,20.016741,18.730384,18.764994,17.230645000000003,18.519153,18.509396,18.459429999999998,18.212524,18.567745000000002,18.41988,17.945052,17.774695,17.669914000000002,16.467589999999998,16.803857,15.505795
2018-09-27 08:34:00.344,20.925935,21.071506,18.49368266666667,18.413128666666665,17.78333566666667,16.265493333333335,15.355119,18.313453,20.014751999999998,18.765117,18.753087,17.152851000000002,18.517172,18.505436,18.45844,18.187839,18.62675,18.424797,17.825008,17.817153,17.707846,16.43187,16.755632000000002,15.608978
2018-09-27 08:35:00.344,20.954987,21.099262,18.492361666666664,18.418749000000002,17.798299,16.287074333333333,15.403569000000001,18.257651,20.011769,18.765117,18.829487,17.178441,18.514198999999998,18.506426,18.45646,18.163154000000002,18.671246,18.421847,17.861796,17.799968,17.733133,16.471557999999998,16.760455,15.62921
2018-09-27 08:36:00.344,21.088626,21.134949,18.494012666666666,18.439406333333334,17.792568333333335,16.292642,15.312482999999999,18.300945000000002,20.015747,18.733278,18.845361999999998,17.214267,18.518162,18.506426,18.45745,18.197713,18.619011999999998,18.501494,17.883094,17.759532,17.735079000000002,16.528114000000002,16.78939,15.560422
2018-09-27 08:37:00.344,21.190307999999998,21.160723,18.487741666666665,18.406741999999998,17.814445000000003,16.321580333333333,15.361901999999999,18.251878,20.013758,18.748715,18.744158,17.2634,18.513208,18.501476999999998,18.448539999999998,18.248070000000002,18.611273999999998,18.360882,17.901488,17.876796,17.665051000000002,16.485449,16.872336999999998,15.606955
2018-09-27 08:38:00.344,21.352031,21.197401,18.48642166666666,18.390063666666666,17.793302333333333,16.30351466666667,15.385157999999999,18.308642000000003,20.012763,18.739067000000002,18.832463,17.194819,18.511226999999998,18.498507999999998,18.44953,18.171053,18.585157000000002,18.413981,17.854051000000002,17.814120000000003,17.711736,16.514223,16.810609,15.585712
2018-09-27 08:39:00.344,21.339442000000002,21.234079,18.485431666666667,18.406501,17.800781,16.312408333333334,15.408414000000002,18.306718,20.011769,18.772835,18.8533,17.235763000000002,18.511226999999998,18.497518,18.44755,18.147354999999997,18.629652,18.442496,17.867604,17.79188,17.742859,16.509262,16.804822,15.623141
2018-09-27 08:40:00.344,21.467271,21.266792000000002,18.48510166666667,18.34906633333333,17.796696,16.33138166666667,15.424887,18.259575,20.006795999999998,18.767046,18.829487,17.255211,18.511226999999998,18.496528,18.44755,18.109834,18.574516,18.362849,17.838561,17.824229000000003,17.727298,16.501324,16.823147,15.669673999999999
2018-09-27 08:41:00.344,21.556364000000002,21.294548000000002,18.48411066666667,18.384381666666666,17.793349,16.342182333333334,15.445235999999998,18.314415,20.006795999999998,18.772835,18.888026999999997,17.27773,18.508254,18.496528,18.44755,18.12267,18.592895000000002,18.43758,17.88019,17.769641,17.730216,16.570778,16.815431,15.640338
2018-09-27 08:42:00.344,21.501165,21.315366,18.48345066666667,18.405658999999996,17.796852,16.365677,15.463647,18.306718,20.005802,18.788272,18.842385,17.250093,18.508254,18.496528,18.44557,18.17599,18.611273999999998,18.429713,17.8647,17.814120000000003,17.711736,16.54895,16.872336999999998,15.675744
2018-09-27 08:43:00.344,21.396578,21.337173999999997,18.48048,18.39260066666667,17.79956866666667,16.363980666666667,15.445235999999998,18.348088,20.005802,18.746786,18.821548999999997,17.230645000000003,18.504291000000002,18.494549,18.4426,18.152292000000003,18.595797,18.429713,17.867604,17.824229000000003,17.706873,16.536051,16.878124,15.677767000000001
