时间,tout,two,twi,ta,tpo,tpi,tin,t排,twi无,ta无,tpo无,tpi无,twi上,twi中,twi下,ta上,ta中,ta下,tpo上,tpo中,tpo下,tpi上,tpi中,tpi下,twi模拟,ta模拟,tpo模拟,tpi模拟,twi无_模拟,ta无_模拟,tpo无_模拟,tpi无_模拟,ta模拟2,tpo模拟2,tpi模拟2,ta无_模拟2,tpo无_模拟2,tpi无_模拟2
2018-10-01 23:05:00.359,20.419462,22.613969,22.013959666666665,20.582702,19.716787666666665,17.379358333333332,16.135164000000003,20.549373000000006,24.265245,22.670627,22.495666,19.52965,22.475418,22.047931,21.51853,20.654364,20.657113,20.436629,19.89771,19.656991,19.595662,17.67212,17.848411,16.617544,22.946757001872843,21.046790128477472,20.027522860580987,16.292084575980375,26.436895234215086,25.633335023258304,24.82476145683281,17.866961275566737,20.386136664953447,19.5105408519385,16.276430117845138,23.635483575434225,22.999323812891408,17.5187014970005
2018-10-01 23:06:00.359,20.442704,22.61496,22.00801733333333,20.574243666666664,19.669525333333333,17.242492000000002,16.027604999999998,20.456049,24.260273,22.678346,22.450025,19.422172,22.467491,22.043971,21.51259,20.579321,20.686132,20.457278,19.8009,19.59937,19.608306,17.577861,17.67673,16.472885,22.9428315160685,21.013929392715347,19.98061936314972,16.206273732218172,26.437355248850228,25.625265138730487,24.808534127046,17.794151793558317,20.351501167935368,19.462162808628115,16.19055909043996,23.62338056693042,22.979527827191035,17.44543667051531
2018-10-01 23:07:00.359,20.319717,22.594143,22.00141533333333,20.590711,19.616065666666668,17.196464666666667,15.907449,20.463746,24.260273,22.626246,22.508564,19.444692,22.458574,22.041002,21.50467,20.710646,20.526528,20.534959,19.805741,19.525574,19.516882,17.591752,17.640079,16.357563,22.938450576306966,20.98300962259636,19.936208370700786,16.100064474431758,26.437577292966765,25.617521999131927,24.793013711136485,17.705644699475645,20.31887421796368,19.416337757820603,16.084293176093546,23.613982334130085,22.962286848258266,17.35646454889237
2018-10-01 23:08:00.359,20.345864,22.549534,21.995473999999998,20.574035000000002,19.597321,17.093266,15.796983,20.453163,24.2553,22.678346,22.457962,19.280916,22.450648,22.033084,21.50269,20.651402,20.623258,20.447445,19.714739,19.544781,19.532443,17.465743,17.505049,16.309006,22.933631149919208,20.95209172890795,19.891444943547736,15.994814636850665,26.43758068305425,25.60976290818528,24.777482965711393,17.617142887290193,20.286803744619405,19.370573634757786,15.97899162656384,23.602667128608605,22.943527007351452,17.267484980545582
2018-10-01 23:09:00.359,20.280981,22.518804,21.986561,20.495924,19.559367,17.012894333333335,15.70299,20.422376,24.253311,22.629141,22.377594,19.25942,22.439749,22.029124,21.49081,20.646465,20.521691,20.319616,19.740878,19.520519,19.416704,17.414148,17.450072,16.174463,22.928369245376988,20.92051028564404,19.845698921706518,15.899665862739964,26.43737584673068,25.6018264448427,24.761712870441688,17.535805982725456,20.253029924633363,19.32309386490804,15.883793963489676,23.5923555465927,22.92547001612572,17.18566399345411
2018-10-01 23:10:00.359,20.333274,22.50096,21.98029033333333,20.519475666666672,19.51324633333333,16.94158333333333,15.622563,20.370423,24.250328,22.660014,22.409344,19.220523,22.434795,22.023186,21.48289,20.633628,20.5865,20.338299,19.706026,19.432571,19.401142,17.409187,17.358445,16.057118,22.92267901238437,20.888559814302106,19.799704632505282,15.815348028483456,26.436974202930354,25.593731300196566,24.745832969082628,17.46259349461757,20.220072621878444,19.27622598745888,15.799430556068408,23.58181004728212,22.907227494248968,17.111968741056884
2018-10-01 23:11:00.359,20.461103,22.497986,21.97335766666667,20.466609,19.446424333333336,16.860248000000002,15.572175,20.378119,24.245355,22.605021,22.462923,19.15706,22.424887,22.019226,21.47596,20.571422,20.469457,20.358948,19.688601,19.299132,19.35154,17.37446,17.25235,15.953934,22.91661725850421,20.85725919551767,19.755210996365122,15.753960227514408,26.43639540734655,25.585656450834627,24.73027373753661,17.40673617293891,20.187952513976008,19.23099694697314,15.738001765014396,23.57025758790321,22.88851648386466,17.055620580055372
2018-10-01 23:12:00.359,20.270328,22.451395,21.964776,20.429079666666667,19.425957999999998,16.793692999999998,15.567329999999998,20.370423,24.241377,22.597302,22.372633,19.082337,22.41597,22.013288,21.46507,20.505266,20.542004,20.239969,19.610184,19.337547,19.330143,17.208763,17.202196,15.97012,22.910304148860998,20.82831728520175,19.714978925158025,15.728960921480773,26.43567385964376,25.577944217889137,24.715779356049115,17.378760193244723,20.157599416713623,19.18962914731613,15.712964895406904,23.55937169311349,22.871106028226922,17.027140001200518
2018-10-01 23:13:00.359,20.126037,22.42463,21.953883666666666,20.357703333333333,19.387578,16.731645,15.467523000000002,20.302113,24.240383,22.581866,22.297226,19.057771,22.407052,22.004379,21.45022,20.47367,20.460751,20.138689000000007,19.62761,19.304187,19.230937,17.194872,17.166509,15.833554,22.90381631636844,20.801300553095835,19.677654651486247,15.648083276470759,26.434835936324763,25.570595519923454,24.70212894839313,17.310998734229322,20.128004407231533,19.150341602654127,15.632048703329673,23.550667648134432,22.85594669602466,16.95888373314428
2018-10-01 23:14:00.359,20.249024,22.440491,21.945962999999995,20.373109000000003,19.333428,16.681231666666665,15.485934,20.276137,24.234416,22.566429,22.361719,18.999426,22.401108,21.998441,21.43834,20.454909,20.455915,20.208503,19.552098,19.217249,19.230937,17.183957999999997,17.077775,15.781962,22.897249743637648,20.77680927419295,19.644419447387985,15.6384463115296,26.433912381736523,25.563752657684894,24.689657679050523,17.29542009545624,20.10205946408911,19.115940895435685,15.62237191961113,23.54033784475304,22.840319133540117,16.942813490325793
